"id","label"
"UBERON:0035180","sigmoid artery"
"UBERON:0035183","calcarine artery"
"UBERON:0035222","posterior parietal artery"
"UBERON:0035225","anterior temporal artery"
"UBERON:0035231","superficial middle cerebral vein"
"UBERON:0035234","medial circumflex femoral vein"
"UBERON:0035249","posterior external jugular vein"
"UBERON:0035252","left subcostal vein"
"UBERON:0035261","posterior temporal artery"
"UBERON:0035273","superior thoracic artery"
"UBERON:0035322","right common iliac artery"
"UBERON:0035374","small cardiac vein"
"UBERON:0035392","cystic vein"
"UBERON:0035404","superior hypophysial artery"
"UBERON:0035422","circumflex branch of left coronary artery"
"UBERON:0035435","right suprarenal vein"
"UBERON:0035462","anterior parietal artery"
"UBERON:0035474","right subcostal vein"
"UBERON:0035483","left suprarenal vein"
"UBERON:0035492","inferior hypophysial artery"
"UBERON:0035529","left common iliac artery"
"UBERON:0035532","deep middle cerebral vein"
"UBERON:0035539","esophageal artery"
"UBERON:0035547","posterior ciliary vein"
"UBERON:0035640","middle vesical artery"
"UBERON:0035655","paraumbilical vein"
"UBERON:0035659","deep facial vein"
"UBERON:0035662","parotid vein"
"UBERON:0035829","right gastroepiploic artery"
"UBERON:0035830","left gastroepiploic artery"
"UBERON:0036074","vein of vestibular aqueduct"
"UBERON:0036172","palmaris brevis"
"UBERON:0036173","abductor digiti minimi of hand"
"UBERON:0036174","flexor digiti minimi brevis of hand"
"UBERON:0036300","tributary of central retinal vein"
"UBERON:8410017","left colic vein"
"UBERON:8410018","right colic vein"
"UBERON:8410022","left colic artery"
"UBERON:8410023","right colic artery"
"UBERON:0001062","anatomical entity"
"UBERON:0000002","uterine cervix"
"UBERON:0000010","peripheral nervous system"
"UBERON:0000045","ganglion"
"UBERON:0000054","macula"
"UBERON:0000059","large intestine"
"UBERON:0000074","renal glomerulus"
"UBERON:0000155","theca cell layer"
"UBERON:0000159","anal canal"
"UBERON:0000178","blood"
"UBERON:0000305","amnion"
"UBERON:0000412","dermal papilla"
"UBERON:0000482","basal lamina of epithelium"
"UBERON:0000948","heart"
"UBERON:0000955","brain"
"UBERON:0000956","cerebral cortex"
"UBERON:0014611","apex of thoracic spinal cord dorsal horn"
"UBERON:0014612","substantia gelatinosa of thoracic spinal cord dorsal horn"
"UBERON:0014613","cervical spinal cord gray matter"
